Document,Questions,Clasificacion
20200000000001.pdf,¿Cuál es el número de oficio y fecha del documento enviado por la Municipalidad Distrital de Ranrahirca?,Especifica
20200000000002.pdf,¿Cuál es el monto total en soles de la factura electrónica E001-547 emitida por DKB VISION S.R.L?,Especifica
20200000000002.pdf,¿Cuál es el código de cuenta de detracciones mencionado en la carta de autorización de DKR Vision S.R.L.?,Especifica
20200000000002.pdf,¿En qué fecha fue emitida la carta de autorización de cuenta de detracciones dirigida a Logística del INAIGEM?,Especifica
20200000000004.pdf,¿Cuál es el número de informe mencionado en la referencia del documento sobre la ejecución de procesos y PAC 2020?,Especifica
20200000000008.pdf,¿Cuál es el número de informe mencionado en el documento para la contratación del coordinador administrativo del proyecto GLOP?,Especifica
20200000000010.pdf,¿Cuál es el monto total a pagar por el servicio de elaboración de mapas y gestión de datos de la cuenca Huari Huari según el documento?,Especifica
20200000000013.pdf,¿Cuál es el monto total en soles de la factura electrónica emitida al Instituto Nacional de Investigación en Glaciares y Ecosistemas de Montaña?,Especifica
20200000000014.pdf,¿Cuál es el monto total de bonos a pagar para los investigadores y tesistas del Proyecto GLOP correspondiente a mayo y junio de 2020?,Especifica
202000000000141.pdf,¿Cuál es el monto total en soles asignado para los investigadores científicos según la tabla de metas y actividades?,Especifica
202000000000142.pdf,¿Cuál es el monto total de bonos para investigadores científicos según el resumen de la planilla?,Especifica
202000000000143.pdf,¿Cuál es el monto total de bonos para investigadores científicos según el resumen de la planilla?,Especifica
20200000000016.pdf,¿Cuál es el monto total de la factura N° E001-963 por la venta de licencia de nube para el módulo de gestión documental?,Especifica
202000000000161.pdf,¿Cuál fue el monto total contratado para la licencia de nube del módulo de gestión documental según el formato de conformidad?,Especifica
202000000000162.pdf,¿Cuál es el monto total del IGV en la factura electrónica emitida por ITERA a INAIGEM el 28/07/2020?,Especifica
202000000000163.pdf,¿Cuál es el monto total en soles que figura en la orden de compra N° C000022?,Especifica
20200000000017.pdf,¿Cuál es el número de informe mencionado en la referencia del documento relacionado con INAIGEM/PMTO - ANTÁRTICA?,Especifica
202000000000171.pdf,¿Cuál es el monto total de viáticos solicitados para los tres funcionarios según el informe N° 011-2020-INAIGEM/PMTO-ANTARTICA?,Especifica
202000000000173.pdf,¿Cuál es el monto total en soles asignado para viáticos según la planilla de gastos de la comisión de servicios?,Especifica
202000000000174.pdf,¿Cuál fue el monto total en soles asignado para viáticos en la comisión de servicios del 29 de julio al 1 de agosto de 2020?,Especifica
202000000000192.pdf,¿Cuál es el código de cuenta interbancario (CCI) de 20 números asociado al proveedor Mejia Melgarejo Violeta Isabel?,Especifica
202000000000192.pdf,¿Cuál es el código de cuenta interbancario (CCI) de 20 números asociado al Instituto Nacional de Investigación de Glaciares y Ecosistemas de Montaña?,Especifica
202000000000231.pdf,¿Cuál es el número de informe del documento emitido por INAIGEM-GG-OTI en julio de 2020?,Especifica
20200000000026.pdf,¿Cuál es el monto total a pagar al proveedor según la tabla mostrada en el documento?,Especifica
20200000000029.pdf,¿Cuál es el número de informe que se menciona como referencia en el documento fechado el 3 de julio de 2020?,Especifica
202000000000322.pdf,¿Cuál es el número de informe emitido por INAIGEM/DIGC/SDIA-DIGM en julio de 2020?,Especifica
202000000000333.pdf,¿Cuál es el número de informe emitido por INAIGEM/DIG-GROWS/PI/EALC en julio de 2020?,Especifica
202000000000351.pdf,"¿Cuál es el monto total en soles que figura en el campo ""TOTAL CERTIFICACIÓN"" del documento?",Especifica
20200000000045.pdf,¿Cuál es el número de informe mencionado en la referencia del documento relacionado al INAIGEM?,Especifica
20200000000053.pdf,¿Cuál es el número de informe de referencia mencionado en el documento para la Certificación Presupuestal CCP N° 327-2020?,Especifica
202000000000531.pdf,¿Cuál es el monto total en soles asignado para el desarrollo de estudios para establecer el riesgo a nivel territorial según el documento?,Especifica
2020000000005310.pdf,¿Cuál es el número de Código de Cuenta Interbancario (CCI) mencionado en la carta de autorización de SGS del Perú S.A.C.?,Especifica
2020000000005310.pdf,¿En qué fecha fue emitida la carta de autorización dirigida a Logística del INAIGEM desde el Callao?,Especifica
202000000000532.pdf,¿Cuál es el monto total solicitado para el análisis de calidad de agua de 38 muestras según el informe N° 00263-2020-INAIGEM/GG-OADM-LOG?,Especifica
20200000000069.pdf,¿Cuál es el monto total en soles solicitado para el servicio de laboratorio para el análisis de metales en muestras de Nostoc sp. (Cushuro) y agua?,Especifica
20200000000069.pdf,¿Qué número de informe se menciona como referencia en el documento para la solicitud de certificación presupuestal?,Especifica
202000000000692.pdf,¿Cuál es el número de informe emitido por INAIGEM-SDISEM-YNMCH en mayo de 2020?,Especifica
202000000000751.pdf,¿Cuál es el monto total a pagar según la orden de servicio N°S000095 para el servicio de vigilancia y custodia en la sede administrativa?,Especifica
202000000000751.pdf,¿Cuál es el monto total en soles que figura en la orden de servicio para el servicio de vigilancia y custodia?,Especifica
202000000000752.pdf,¿Cuál es el monto total por honorarios indicado en el recibo electrónico E001-27?,Especifica
