Document,Questions,Clasificacion
20200000000001.pdf,¿Qué solicita específicamente la municipalidad al INAIGEM según el documento con respecto a los movimientos en masa del distrito?,General
20200000000002.pdf,¿Cuál es el RUC del Instituto Nacional de Investigación en Glaciares y Ecosistemas de Montaña mencionado en la factura?,General
20200000000004.pdf,¿Quién es el Jefe de la Oficina de Administración según el documento fechado el 27 de julio del 2020?,General
20200000000004.pdf,¿Cuál es el número de teléfono de la sede ubicada en Jr. Juan Bautista Mejía?,General
20200000000004.pdf,¿En qué distrito se encuentra la sede ubicada en la Av. Prolongación Túpac Amaru A-2?,General
202000000000041.pdf,¿Cuál es el valor estimado del arrendamiento del inmueble para el funcionamiento de la sede central del INAIGEM en Huaraz?,General
202000000000041.pdf,¿Cuál es la fecha de vigencia final para el arrendamiento del inmueble de la Oficina Desconcentrada Macro Región Sur del INAIGEM en Cusco?,General
202000000000041.pdf,¿Cuál es el número de contrato INAIGEM-GG mencionado en el documento con fecha 28 de febrero de 2020?,General
202000000000041.pdf,¿Qué procedimiento de selección está pendiente de ejecución para la Oficina Desconcentrada Macro Región Sur Cusco ODMRS?,General
20200000000006.pdf,¿Cuántas licencias de antivirus se solicitan renovar según el INFORME N°026-2020-INAIGEM/GG-OTI?,General
20200000000006.pdf,"¿Qué equipos de seguridad perimetral se solicitan adquirir según el INFORME N°034-2020-INAIGEM/GG-OTI para proteger la red de INAIGEM en Lima, Cusco y Huaraz?",General
20200000000006.pdf,¿Cuál fue el número de memorándum múltiple que solicitó la evaluación del POI 2020 del primer semestre?,General
20200000000006.pdf,¿En qué mes se realizó la renovación del servicio de Hosting donde se alojan servicios de DIGG según el documento?,General
20200000000008.pdf,¿Cuál es el monto en soles especificado en la transferencia 191 para servicios diversos según la tabla del documento?,General
202000000000081.pdf,¿Cuál es el monto especificado en la transferencia 181 para servicios diversos según el documento?,General
202000000000081.pdf,¿Quién es el Director de Círculo de Investigación Proyecto GLOP según el informe N° 046-2020-INAIGEM/DIG - GLOP/PI/CPFG?,General
202000000000082.pdf,¿Cuál es el código de la Meta Presupuestaria según el requerimiento de servicios del INAIGEM?,General
202000000000082.pdf,¿Quién es la persona responsable del requerimiento de supervisión y seguimiento según los datos generales de la contratación?,General
202000000000082.pdf,¿Cuál es la fórmula para calcular la penalidad diaria por retraso injustificado del proveedor según el documento?,General
202000000000082.pdf,¿Por cuánto tiempo es responsable el proveedor por la calidad ofrecida y los vicios ocultos de los servicios prestados según la cláusula 13?,General
20200000000010.pdf,"¿Qué anexo se menciona como adjunto en el documento según la sección ""cc""?",General
20200000000010.pdf,¿Cuál es la dirección exacta de la sede en Huaraz según el pie de página del documento?,General
20200000000010.pdf,¿Quién es el especialista en Biología de la Oficina Desconcentrada Macro Región Sur - Cusco - ODMRS que firma el documento?,General
202000000000101.pdf,¿Cuál fue el monto contratado para el servicio de elaboración de mapas y gestión de datos de la cuenca Huari Huari según el formato de conformidad?,General
202000000000101.pdf,¿En qué fecha se emitió la orden de servicio para la elaboración de mapas de la cuenca Huari Huari en la cordillera Apolobamba?,General
20200000000010132639932.pdf,¿Cuál fue el monto contratado para el servicio de elaboración de mapas y gestión de datos de la cuenca Huari Huari en la región Puno?,General
20200000000010132639932.pdf,¿En qué fecha se emitió la orden de servicio número 5000032 para la Oficina Desconcentrada Macro Región Sur-Cusco?,General
202000000000102.pdf,¿Cuál fue el monto contratado para el servicio de elaboración de mapas y gestión de datos de la cuenca Huari Huari en la región Puno?,General
202000000000102.pdf,¿Cuál es el número de documento de identidad del contratista Joshua Jonatan Castro Camacho según el formato de conformidad del servicio?,General
202000000000103.pdf,¿Cuál fue el monto contratado para el servicio de elaboración de mapas y gestión de datos de la cuenca Huari Huari en la región Puno?,General
202000000000103.pdf,¿Cuál es el número de documento de identidad del contratista Joshua Jonatan Castro Camacho según el formato de conformidad del servicio?,General
20200000000010354675302.pdf,¿Cuál fue el monto contratado para el servicio de elaboración de mapas y gestión de datos de la cuenca Huari Huari en la región Puno?,General
20200000000010354675302.pdf,¿En qué fecha se emitió la Orden de Servicio número 5000032 según el formato de conformidad?,General
20200000000010382249392.pdf,¿Cuál fue el monto contratado para el servicio de elaboración de mapas y gestión de datos de la cuenca Huari Huari en la región Puno?,General
20200000000010382249392.pdf,¿Cuál es el número de documento de identidad del contratista Joshua Jonatan Castro Camacho según el formato de conformidad del servicio?,General
20200000000012.pdf,¿Cuál es el modelo exacto del monitor Samsung que se facturó en el documento?,General
20200000000012.pdf,¿Cuál es la dirección exacta del cliente que aparece en la factura electrónica?,General
20200000000012.pdf,¿Cuál es el número de DNI del conductor registrado en la guía de remisión electrónica?,General
20200000000012.pdf,¿Cuál es la dirección del punto de llegada según la guía de remisión electrónica emitida el 2020-07-15?,General
20200000000013.pdf,¿Cuál es el número de serie del equipo Lenovo ThinkCentre mencionado en el certificado de garantía?,General
20200000000013.pdf,¿A qué institución está dirigido el certificado de garantía emitido por la empresa DORADO BACA RICHARD BALTAZAR?,General
20200000000013.pdf,¿Qué modelo específico de computadora Lenovo se menciona en la descripción del producto facturado?,General
20200000000014.pdf,¿Qué número de certificado de crédito presupuestario respalda la solicitud de pago de bonos del Proyecto Lagunas Glaciares en Perú?,General
202000000000141.pdf,¿Quién es el destinatario y cuál es su cargo según el informe N°054-2020-INAIGEM/DIG-GLOP/P/CPFG?,General
202000000000142.pdf,¿Qué número de transferencia corresponde a la planilla de bonos para investigadores del proyecto GLOP en mayo?,General
202000000000143.pdf,¿Qué correo electrónico corresponde al investigador Efrain Yury Turpo Cayo en la planilla de bonos del proyecto GLOP?,General
20200000000015.pdf,¿Cuál es el correo electrónico proporcionado para brindar asesoría y apoyo técnico sobre la información para cuantificar los montos a devolver?,General
20200000000015.pdf,¿Cuál es el número de la Resolución Directoral mencionada en la firma del documento?,General
20200000000015.pdf,¿Cuál es el horario de atención establecido para la Mesa de Partes virtual de la ONP según la carta circular?,General
20200000000015.pdf,¿A qué dirección de correo electrónico se debe enviar la información solicitada según el documento?,General
20200000000016.pdf,¿Cuál es el número de la Guía de internamiento mencionada en la orden de compra para INAIGEM?,General
202000000000161.pdf,¿En qué fecha se emitió la orden de compra para la licencia de nube según el documento de conformidad de bienes?,General
202000000000162.pdf,¿Cuál es la dirección exacta del cliente INAIGEM según la factura electrónica?,General
202000000000163.pdf,¿Cuál es el plazo máximo en días calendario para realizar la capacitación después de la activación de la Licencia de Nube?,General
202000000000163.pdf,¿Cuál es el número de RUC del proveedor que aparece en la orden de compra para la licencia de infraestructura de nube?,General
202000000000163.pdf,¿Cuál es la dirección exacta que aparece en la orden de compra para INAIGEM?,General
20200000000017.pdf,¿En qué fechas se realizará la salida del equipo técnico del proyecto Perú Bioglaciar según el documento?,General
20200000000017.pdf,¿Cuál es la dirección exacta de la sede del INAIGEM en Huaraz según el documento?,General
20200000000017.pdf,¿Cuál es el número de teléfono de la sede del INAIGEM en Cusco según el documento?,General
202000000000171.pdf,¿Quién es el investigador principal del Proyecto Pant_BioGlaciar según el informe con fecha 24 de julio del 2020?,General
202000000000171.pdf,¿Cuál es el nombre del proyecto del cual Pedro Miguel Tapia Ormeño es investigador principal?,General
202000000000171.pdf,"¿En qué año fue declarado el ""Año de la Universalización de la salud"" según el encabezado del documento?",General
202000000000172.pdf,¿Cuál es el número de DNI que aparece en la parte superior del documento?,General
202000000000172.pdf,¿A qué documento pertenece esta página según el nombre del archivo PDF?,General
202000000000172.pdf,¿Cuál fue el importe total en soles de los viáticos asignados según la planilla de gastos de la comisión de servicios?,General
202000000000172.pdf,¿En qué fecha y hora inició la comisión de servicios según la planilla de viáticos?,General
202000000000173.pdf,¿En qué fecha y hora está programado el inicio de la comisión según el detalle del documento?,General
202000000000174.pdf,¿Cuál es el propósito del viaje a la ciudad de Lima según el motivo de la comisión detallado en el documento?,General
20200000000019.pdf,¿Cuál es el número de carta que aparece en la parte superior del documento dirigido al INAIGEM?,General
20200000000019.pdf,¿Qué documentos se adjuntan según la carta para la retribución del pago de la orden de compra N° C000002 del mes de julio?,General
202000000000192.pdf,¿En qué banco tiene su cuenta de ahorros en soles el proveedor con RUC 10434979761?,General
202000000000192.pdf,¿Cuál es el número de RUC del proveedor Mejia Melgarejo Violeta Isabel que aparece en la carta de autorización?,General
202000000000193.pdf,¿Cuál es la dirección exacta del cliente que aparece en la factura electrónica emitida el 29/07/2020?,General
202000000000193.pdf,¿Cuál es el valor unitario de los casacos térmicos con fibra y forro en polifilina que se facturaron?,General
202000000000194.pdf,¿Cuál es el monto contratado según el formato de conformidad de bienes para la orden de compra N°C000002?,General
202000000000194.pdf,¿En qué fecha se realizó la notificación al proveedor según el documento de conformidad de bienes?,General
20200000000023.pdf,¿Cuál es el link del módulo para acceder al portal de transparencia del estado peruano según las credenciales mostradas?,General
20200000000023.pdf,¿Quién es el Director de la Dirección de Información y Gestión del Conocimiento - DIGC al que va dirigido el documento?,General
202000000000231.pdf,¿Quién es el Jefe de la Oficina de Tecnologías de la Información según el documento fechado en Huaraz?,General
20200000000025.pdf,¿Cuál es el número de expediente del proveído D-OADM-GG-INAIGEM-2020?,General
20200000000025.pdf,¿Cuál es el asunto del documento relacionado con la Laguna de Origen Glaciar en el Perú?,General
20200000000026.pdf,¿Cuántos días de retraso se indican en la tabla de penalidades del documento?,General
20200000000026.pdf,¿Cuál es el monto de la penalidad diaria calculada para el retraso en la ejecución del servicio según la Orden de Servicio N°50047?,General
20200000000026.pdf,¿Quién es el especialista en Logística I de la Oficina de Administración - OADM que firma el documento sobre la penalidad por retraso?,General
202000000000262.pdf,¿Cuál es el tamaño en KB del archivo REQUERIMIENTO.pdf adjunto al correo?,General
202000000000262.pdf,¿Cuál es el número de la orden de servicio mencionada en uno de los archivos adjuntos?,General
202000000000262.pdf,¿Quién fue el responsable de Logística encargado de dar conformidad al área de Patrimonio y al Conductor del Vehículo según la ORDEN DE SERVICIO 47?,General
202000000000262.pdf,¿Cuáles fueron los dos elementos específicos que necesitaban ser cambiados en la camioneta toyota Rav4 de placa EGU-990?,General
202000000000264.pdf,¿Cuál fue la fecha de inicio del servicio según el formato de conformidad del servicio para el vehículo EGU 990?,General
202000000000264.pdf,¿Cuál es el monto contratado que figura en el formato de conformidad del servicio para el mantenimiento correctivo del vehículo?,General
202000000000264.pdf,¿Cuál es el número de placa del vehículo conducido por Mario Antonio Osorio Villa?,General
202000000000264.pdf,¿Hasta qué fecha no se reportó el área de control patrimonial según las observaciones del servicio realizado?,General
20200000000028.pdf,¿Qué modelo y marca de UPS se encuentra instalado en la infraestructura tecnológica del INAIGEM y en qué estado se encuentra?,General
20200000000028.pdf,¿A qué dirección web se realizó la migración del portal institucional según el documento?,General
20200000000028.pdf,¿Cuál es el nombre del jefe de la Oficina de Tecnologías de la Información - OTI según el documento?,General
20200000000028.pdf,¿Qué color indica el UPS alarmado en la sala de servidores según la sección A.1 de Infraestructura Tecnológica?,General
